comment,author,date,num_likes
"고딩엄빠 시즌1 정주행👉 <a href=""https://youtu.be/ieUs3pvon1Q"">https://youtu.be/ieUs3pvon1Q</a>",고딩엄빠,2022-10-26T05:57:35Z,14
10살 아이입에서 왜 태어났는지 묻는데 가슴아프네요...철도 너무일찍 든거같고,꿀떡,2022-12-09T01:59:18Z,0
철두공 닮았노,다태호,2022-12-07T21:06:25Z,0
엄마도 아들한테 잘해주네 우리 엄마는 항상 나를 때렸는데 우리 엄마도 저랬으면 소원이 없었겠다..,사랑이💞,2022-12-07T16:39:11Z,0
애가 애답지않고 몰라도될걸 너무많이아네.의젓한게아니고 저 집안이 얼마나 쪼들렸으면 애가 저러지싶다 지독히 비정상적이다,김하나 Hanakim,2022-12-07T14:32:22Z,0
쟤는머리가피에로임?,김하나 Hanakim,2022-12-07T14:28:19Z,0
진석아 넘이쁘다 홧팅!!,Victor Son,2022-12-07T07:26:49Z,0
진석이가 의젓하고 착하네요 ㅠㅠ 아이들이 다 잘됬으면 좋겠어요 그리고 진석이 잘생겼어요,Tim Cook,2022-12-07T05:14:14Z,6
인성은 타고나는거네,루비,2022-12-07T03:33:27Z,0
진석이 너무 잘생겼다,0 D,2022-12-05T13:38:22Z,6
동의요 개성있게 어른되면 상남자 될듯요 인물이 좋아요,Tim Cook,2022-12-07T05:15:49Z,0
남자에게ㆍ욕하곶ㆍ의할점이넘맗이요,김옥자,2022-12-03T07:31:58Z,0
정말   무식한 여자네<br>지능이의심되네,"Kop,이슬이Kop이슬이",2022-11-30T06:12:57Z,2
이야 아들 잘 나았네요... 청소년기 잘 넘어갈 수 있도록 더 성장할 수 있도록 남은 아이들 까지 잘 클 수 있게 부부가 싸우지말고 잘 키우시길... 바래요! 근데 여기 외모로 지적하는 사람들 반성하세요.... 피부색 머리색 몸의 장애 생김새 몸매 등등 외모로 지적이나 차별은 참으로 못난짓입니다.,Charlie Mom,2022-11-28T22:42:42Z,0
저런 외모가 요즘 인기많은 스탈인가요~~?? <br>당췌.....  ㅉㅉ,고길동,2022-11-27T10:44:59Z,1
애기가 너무 어렸을때부터 철 들어버렸네 ㅜㅜ,O_o,2022-11-25T12:25:14Z,0
애기가 철이 잔득 들었구나 요즘 애들이 아니구나 불쌍하다 고생해서 저런건데,나는 ooo 이다,2022-11-24T11:30:45Z,0
진석아  힘내라~  설마 엄마가 또 애를 낳것냐;  또 난다면  10살인  애한테 돈벌어오라는  의미랑 같은거 ~  이제 그만하소;  애낳다가 애 잡을라;,허수미,2022-11-24T10:18:46Z,0
